Sor-szám,Technikai szám,Név,Székhely,Felajánlott összeg (Ft),Felajánlók száma (fő),Havi bruttó átlagbér (Ft)
149.,0303,OM VISHWA GURU DEEP HINDU MANDIR MAHAPRABHUJI A VILÁGMINDENSÉG GURUJA HINDU VALLÁSI KÖZÖSSÉG ÉS SZELLEMI ISKOLA,1094 BUDAPEST BOKRÉTA UTCA 29. FSZT.em. 2.ajtó,"21,825,104","1,915","633,162"
150.,1672,OMEGA HÁLÓZAT EGYHÁZ,1171 BUDAPEST LAJOSHÁZ UTCA 5.,"8,051,910","1,089","410,770"
151.,0365,OROSZ ORTODOX EGYHÁZ MAGYAR EGYHÁZMEGYÉJE /MOSZKVAI PATRIARCHÁTUS/,1052 BUDAPEST PETÖFI TÉR 2,"32,457,557","2,719","663,184"
152.,2941,OTTHON GYÜLEKEZET,6800 HÓDMEZŐVÁSÁRHELY HALÁSZ UTCA 10/A.,"3,640,637",364,"555,653"
153.,2408,ÖKUMENIKUS EGYHÁZ,1136 BUDAPEST HEGEDŰS GYULA UTCA 40. FSZT.em. 1.ajtó,"45,354,368","3,892","647,402"
154.,0729,ÖRMÉNY APOSTOLI VALLÁSI KÖZÖSSÉG EGYESÜLET,1056 BUDAPEST VÁCI UTCA 78-80. IV.em. 8.ajtó,"6,817,631",513,"738,318"
155.,2422,ŐSFÉNY KÖZÖSSÉG VALLÁSI EGYESÜLET,1133 BUDAPEST DRÁVA UTCA 5. B.lh. VIII.em. 22.ajtó,"2,507,789",270,"516,006"
156.,2769,ŐSFORRÁS VALLÁSI EGYESÜLET,2800 TATABÁNYA VEREBÉLYI LÁSZLÓ UTCA 44. 4.em. 2.ajtó,"4,049,458",450,"499,933"
157.,0925,ŐSMAGYAR EGYHÁZ,9400 SOPRON KORONÁZÓ DOMB 20.,"51,358,537","5,061","563,772"
158.,1555,PAULUS EVANGÉLIUMI KÖZÖSSÉG,2049 DIÓSD HUNYADI UTCA 8-9.,"5,008,725",464,"599,704"
159.,2202,REFORM EGYHÁZ,1022 BUDAPEST BALOGVÁR UTCA 5/A. 1.em. 9.ajtó,"17,332,702","1,907","504,944"
160.,2233,REFORM KÖZÖSSÉG EGYESÜLET,8000 SZÉKESFEHÉRVÁR NYITRAI ÚT 13.,"2,128,487",251,"471,113"
161.,2240,SAKYA KALSANG LING(SAKYA SZERENCSÉS FÖLDJE)BUDDHISTA VALLÁSGYAKORLÓK EGYESÜLETE,6800 HÓDMEZŐVÁSÁRHELY TELEKI UTCA 54. 3.ajtó,"4,880,070",518,"523,388"
162.,0145,SHALOM BIBLIAI GYÜLEKEZETEK EGYHÁZA,4026 DEBRECEN BEM TÉR 30.,"3,114,214",444,"389,666"
163.,2745,SION SZAVA TELJES EVANGÉLIUMI GYÜLEKEZET,1078 BUDAPEST NEFELEJCS UTCA 50. ALAGSOR.em. 1/R/1.ajtó,"598,582",62,"536,364"
164.,2123,SOLI DEO GLORIA-REFORMÁLT BAPTISTA GYÜLEKEZET,1083 BUDAPEST SZIGONY UTCA 8.,"2,645,260",235,"625,357"
165.,2374,SPIRITUÁLIS FEJLŐDÉSÉRT EGYESÜLET,1082 BUDAPEST FUTÓ UTCA 25/35686/A/30. 1.em. 103.ajtó,"35,974,397","3,840","520,463"
166.,0822,SZABAD EVANGÉLIUMI GYÜLEKEZET,1134 BUDAPEST BÉKE ÚT 35/A.,"2,679,292",258,"576,936"
167.,2381,SZABADKERESZTÉNY EGYHÁZ,4026 DEBRECEN MESTER UTCA 24.,"10,513,464","1,222","477,972"
168.,2721,SZABOLCSI ÉLETFORRÁS VALLÁSI EGYESÜLET,4482 KÓTAJ HUNYADI JÁNOS UTCA 79.,"2,440,971",247,"549,026"
169.,1184,SZAKJA TASI CSÖLING BUDDHISTA EGYESÜLET,1039 BUDAPEST KIRÁLYOK ÚTJA 38.,"6,625,924",665,"553,544"
170.,0523,"SZANGYE MENLAI GEDÜN, A GYÓGYÍTÓ BUDDHA KÖZÖSSÉGE",2621 VERŐCE TÁBOR UTCA 8.,"8,812,683",801,"611,228"
171.,2666,SZÉKESFEHÉRVÁRI KERESZTÉNY  KÖZÖSSÉG  EGYESÜLET,8000 SZÉKESFEHÉRVÁR DEÁK F. UTCA 29/2. I.em. 3.ajtó,"12,766,863","1,200","591,058"
172.,1005,SZENT HAGYOMÁNYOK ŐRZŐINEK KÖZÖSSÉGE,4245 ÉRPATAK NAPFÉNY- MAJOR 1.,"3,526,293",401,"488,542"
173.,0183,SZENT MARGIT ANGLIKÁN / EPISZKOPÁLIS EGYHÁZ,1117 BUDAPEST MAGYAR TUDÓSOK KÖRÚTJA 3.,"5,855,685",532,"611,496"
174.,2893,SZERESSÜK EGYMÁST MAGYAROK EGYHÁZI EGYESÜLET,5900 OROSHÁZA HAJNAL KÖZ 16. II.EMELET.em. 6.ajtó,"7,827,307",806,"539,517"
175.,1768,SZERETET - KÖZÖSSÉG TELJES EVANGÉLIUMI EGYHÁZ,2083 SOLYMÁR VIOLA UTCA 4.,"2,638,840",306,"479,092"
176.,1373,SZIM SALOM PROGRESSZÍV ZSIDÓ HITKÖZSÉG,1073 BUDAPEST KERTÉSZ UTCA 32. FSZT.em.,"7,183,263",645,"618,713"
177.,1830,SZÖVÉTNEK KERESZTÉNY GYÜLEKEZET EGYESÜLET,1162 BUDAPEST BEKECS UTCA 19.,"2,515,921",257,"543,865"
178.,2109,SZÖVETSÉG TELJES EVANGÉLIUMI EGYESÜLET,4032 DEBRECEN SÁNTHA KÁLMÁN UTCA 15. II/3.em.,"121,136",21,"320,466"
179.,0121,TELJES EVANGÉLIUMI KERESZTYÉN KÖZÖSSÉG MAHANAIM GYÜLEKEZET EGYESÜLETE,1071 BUDAPEST DAMJANICH UTCA 35.,"6,313,420",906,"387,136"
180.,1036,ÚJSZÖVETSÉG GYÜLEKEZET,3531 MISKOLC NAGYVÁTHY JÁNOS UTCA 6.,"11,606,409","3,255","198,095"
181.,2965,UKRÁN ORTODOX VALLÁSI KÖZÖSSÉG BUDAPESTEN,1077 BUDAPEST BAROSS TÉR 17. FSZT.em. Ü-3.ajtó,"9,968,987",717,"772,430"
182.,2116,UNIVERZÁLIS EGYHÁZ,1081 BUDAPEST NÉPSZÍNHÁZ UTCA 27.,"4,324,703",446,"538,702"
183.,1799,USUI SPIRITUAL LERNEJO,1131 BUDAPEST SZENT LÁSZLÓ UTCA 182. FSZT.em. 4.ajtó,"4,856,580",670,"402,701"
184.,1438,ÜDVÖSSÉG HIRDETŐI EGYHÁZ,1181 BUDAPEST HOSSZÚHÁZ UTCA 4. I.em. 3.ajtó,"1,143,248",141,"450,452"
185.,2312,"VAIDIKA PRATISTHANA SANGHA, VÉDIKUS DHARMA HINDU KÖZÖSSÉG, MAGYARORSZÁG EGYESÜLET",2016 LEÁNYFALU SZILOSI UTCA 4.,"4,646,135",480,"537,747"
186.,2594,YAHUAH ÚTJA EGYESÜLET,6113 PETŐFISZÁLLÁS . TANYA 617.,"2,511,907",281,"496,621"
