Sorszám,Adószám,,,Név,Székhely,Felajánlott összeg (Ft),Felajánlók száma (fő),Havi bruttó átlagbér (Ft)
4481,19380692,1,41,Budai Rajziskola Alapítvány,1023 BUDAPEST REPKÉNY UTCA 15. TETŐTÉR.em.,"279,017",22,"704,588"
4482,19174253,1,13,BUDAI SIKLÓREPÜLŐ EGYESÜLET,2461 TÁRNOK RÁKÓCZI ÚT 94,"43,771",1,"2,431,722"
4483,18505744,1,43,Budai Squash Egyesület,1238 BUDAPEST CSIBUK UTCA 39.,"152,102",6,"1,408,352"
4484,19345354,1,43,Budai Technikum Közhasznú Alapítvány,1126 BUDAPEST MÁRVÁNY UTCA 32.,"827,284",75,"612,803"
4485,18707609,1,13,BUDAI ÚTI ISKOLÁSOKÉRT ALAPÍTVÁNY,2700 CEGLÉD KÜLSŐ BUDAI UTCA 2.,"415,545",29,"796,063"
4486,18727140,1,13,BUDAJENŐ KEMPO KLUB SPORTEGYESÜLET,2072 ZSÁMBÉK . HRSZ. 3375/1.,"105,127",9,"648,932"
4487,18666904,1,13,BUDAJENŐ KÖZSÉGI SPORTEGYESÜLET,2093 BUDAJENŐ SPORT UTCA 11.,"337,885",22,"853,245"
4488,18697933,1,13,Budajenő Polgárőrség Bűnmegelőzési és Önvédelmi Közhasznú Egyesület,2093 BUDAJENŐ SZŐLŐHEGYI ÚT 16.,"232,623",9,"1,435,944"
4489,18711860,1,13,BUDAJENŐI ÁLTALÁNOS ISKOLÁÉRT ALAPÍTVÁNY,2093 BUDAJENŐ FŐ U. 3,"1,524,025",91,"930,418"
4490,19377171,1,13,Budajenői Óvodáért Alapítvány,2093 BUDAJENŐ FŐ UTCA 1-3.,"784,983",48,"908,545"
4491,18270648,1,13,Budajenő-Telki Székely Társulat,2093 BUDAJENŐ JÓZSEF A. UTCA 13.,"73,532",11,"371,374"
4492,19182250,1,13,Budakalászért Közalapítvány,2011 BUDAKALÁSZ PETŐFI TÉR 1.,"154,967",4,"2,152,319"
4493,18625457,1,13,Budakalászi Bölcsődés Gyermekekért Alapítvány,2011 BUDAKALÁSZ BUDAI ÚT 10.,"227,542",17,"743,601"
4494,19184685,1,13,BUDAKALÁSZI JÓLÉTI SZOLGÁLAT ALAPÍTVÁNY,2011 BUDAKALÁSZ PETŐFI TÉR 1.,"10,570",1,"587,222"
4495,18945322,1,13,"Budakalászi Készenléti Önkéntes Tűzoltó és Önkéntes Mentőszervezet, Polgárőrség Egyesülete",2011 BUDAKALÁSZ PETŐFI TÉR 1.,"230,146",17,"752,111"
4496,18272664,1,13,Budakalászi Kórus Egyesület,2011 BUDAKALÁSZ BATSÁNYI JÁNOS UTCA 2.,"129,284",5,"1,436,489"
4497,19185480,1,13,Budakalászi Lenvirág Alapítvány,2011 BUDAKALÁSZ SZENTENDREI ÚT 5.,"542,094",44,"684,462"
4498,19175780,1,13,BUDAKALÁSZI MUNKÁS SPORTEGYESÜLET,2011 BUDAKALÁSZ OMSZK PARK 3.,"121,737",12,"563,597"
4499,18690163,1,13,BUDAKALÁSZI ÓVODÁSOKÉRT ALAPITVÁNY,2011 BUDAKALÁSZ POMÁZI UTCA 3.,"1,106,010",65,"945,308"
4500,18664531,1,13,Budakalászi Református Templomért Alapítvány,2011 BUDAKALÁSZ KERESZT U. 7,"507,576",28,"1,007,095"
4501,18680054,1,13,BUDAKALÁSZI SPORT CLUB,2011 BUDAKALÁSZ SZENTENDREI UTCA 1-3.,"272,737",15,"1,010,137"
4502,18672325,1,13,Budakalászi Szent István Alapítvány,2011 BUDAKALÁSZ SZÉCHENYI ÚT 51.,"83,501",3,"1,546,315"
4503,18728471,1,13,Budakeszi Amatőr Asztalitenisz Sportegyesület,2092 BUDAKESZI FŐ UTCA 179.,"160,930",12,"745,046"
4504,18693805,1,13,BUDAKESZI CSERKÉSZEKÉRT ALAPÍTVÁNY,2092 BUDAKESZI RÓZSA U. 3,"891,029",78,"634,636"
4505,18912470,1,13,Budakeszi Evangélikus Templomért  Alapítvány,2092 BUDAKESZI FELKESZI UTCA 6.,"256,788",19,"750,842"
4506,18675555,1,13,Budakeszi Hagyományőrző Kör Egyesület,2092 BUDAKESZI FŐ UTCA 85.,"14,469",2,"401,917"
4507,18718702,1,13,"Budakeszi Helytörténeti Gyűjtemény, Baráti Köre Egyesület",2092 BUDAKESZI FŐ UTCA 72.,"79,327",8,"550,882"
4508,19239572,1,13,Budakeszi Keresztény Oktatásra Vágyó Szülői Egyesület,2092 BUDAKESZI VÁSÁRHELYI PÁL UTCA 46.,"180,709",15,"669,293"
4509,18709216,1,13,BUDAKESZI KULTÚRA ALAPÍTVÁNY,2092 BUDAKESZI GÁBOR ÁRON UTCA 48/A.,"50,995",5,"566,611"
4510,18665099,1,13,BUDAKESZI MEZEI MÁRIA MŰVÉSZETI ISKOLA,2092 BUDAKESZI FŐ UTCA 108.,"174,896",13,"747,419"
4511,18650253,2,13,Budakeszi Önkéntes Tűzoltó Egyesület,2092 BUDAKESZI FŐ UTCA 85.,"2,554,310",195,"727,724"
4512,19183914,1,13,Budakeszi Református Egyházközség Határainkon Túli Magyarok Emléktemploma Alapítvány,2092 BUDAKESZI FŐ UTCA 159.,"873,902",61,"795,903"
4513,19169747,1,13,BUDAKESZI SZÉPITÖ EGYESÜLET,2092 BUDAKESZI FŐ UTCA 85.,"114,454",5,"1,271,711"
4514,18692976,1,13,BUDAKESZI SZIVÁRVÁNY ALAPÍTVÁNY,2092 BUDAKESZI FŐ U. 268,"38,945",4,"540,903"
4515,18677416,2,13,BUDAKESZI VADASPARK KÖZHASZNÚ NONPROFIT KORLÁTOLT FELELŐSSÉGŰ TÁRSASÁG,2092 BUDAKESZI . 210/12.,"2,364,420",147,"893,583"
4516,18708215,1,13,Budakeszi Városi Polgárőr és Katasztrófavédelmi Egyesület,2092 BUDAKESZI FŐ UTCA 74.,"87,397",9,"539,488"
4517,19182690,1,13,BUDAKESZI ZENEISKOLA BARÁTI EGYESÜLET,2092 BUDAKESZI ISKOLA KÖZ 3.,"523,360",26,"1,118,291"
4518,18593822,1,13,BUDAKÖRNYÉKI  WALDORF  ALAPÍTVÁNY,2092 BUDAKESZI PETŐFI UTCA 24.,"1,425,099",92,"860,567"
4519,19086264,1,13,Budakörnyéki Íjász Egyesület,2071 PÁTY KOSSUTH UTCA 77.,"137,440",11,"694,141"
4520,18717660,1,13,Budakörnyéki Sportegyesület,2030 ÉRD ÁFONYA UTCA 61.,"349,325",22,"882,134"
4521,18692653,1,13,BUDÁNTÚLI WALDORF-PEDAGÓGIAI ALAPÍTVÁNY,2071 PÁTY ÁRPÁD UTCA 12.,"104,118",9,"642,704"
4522,18692756,1,13,"BUDAÖRS, SZABADSÁG ÚTI VACKOR ÓVODA ÓVODÁSAIÉRT ALAPÍTVÁNY",2040 BUDAÖRS SZABADSÁG UTCA 136.,"774,676",58,"742,027"
4523,18667400,1,13,BUDAÖRS  VÁROSI  ÖNKÉNTES  TŰZOLTÓ  KÖZHASZNÚ  EGYESÜLET,2040 BUDAÖRS DÓZSA GYÖRGY UTCA 10.,"877,806",54,"903,093"
4524,18713563,1,13,BUDAÖRS ÉS KISTÉRSÉGE MENTÉSÉÉRT ALAPÍTVÁNY,2040 BUDAÖRS SZABADSÁG ÚT 277.,"855,574",70,"679,027"
4525,18020759,1,13,budaörsi chor-társ zenei közösség,2040 BUDAÖRS LÉVAI UTCA 33. 1.em. 9.a.,"39,183",3,"725,611"
4526,18670725,1,13,Budaörsi Clementis utcai Óvodásokért Alapítvány,2040 BUDAÖRS CLEMENTIS L. UTCA 3.,"389,575",29,"746,312"
4527,18669639,1,13,Budaörsi Cseperedő Óvodás Gyermekekért Alapítvány,2040 BUDAÖRS LÉVAI UTCA 36.,"959,542",64,"832,936"
4528,18946385,1,13,Budaörsi Cserkészekért Egyesület,2040 BUDAÖRS IBOLYA UTCA 29.,"680,256",38,"994,526"
4529,19169022,1,13,Budaörsi Diák Sportegyesület,2040 BUDAÖRS SZABADSÁG ÚT 162.,"443,411",31,"794,643"
4530,18665257,1,13,Budaörsi Kesjár Csaba Iskoláért Alapítvány,2040 BUDAÖRS ŐSZIBARACK UTCA 29.,"2,640,948",177,"828,923"
4531,18503890,1,13,Budaőrsi Kézilabda Sportegyesület,2040 BUDAÖRS ÉBNER GYÖRGY KÖZ 4.,"487,243",39,"694,078"
4532,18027512,1,13,BUDAÖRSI KICK-BOX SPORTEGYESÜLET,2040 BUDAÖRS LÉVAI UTCA 33. VI.em. 52.a.,"499,531",18,"1,541,762"
4533,18024179,1,13,BUDAÖRSI KINCSKERESŐ ÓVODÁÉRT ALAPÍTVÁNY,2040 BUDAÖRS SZABADSÁG ÚT 64.,"528,563",50,"587,292"
4534,18704888,1,13,Budaörsi Labda Egylet,2040 BUDAÖRS BÍBOR UTCA 7.,"124,563",6,"1,153,361"
4535,18221390,1,13,BUDAÖRSI MÁKSZEM ÓVODÁÉRT ALAPÍTVÁNY,2040 BUDAÖRS PATKÓ UTCA 2.,"605,192",45,"747,151"
4536,18751684,1,13,Budaörsi Párkapocs Egyesület,2040 BUDAÖRS ARADI UTCA 16.,"199,554",9,"1,231,815"
4537,18683349,1,13,Budaörsi Polgárőr és Katasztrófavédelmi Közhasznú Egyesület,2040 BUDAÖRS KINIZSI UTCA 2.,"144,287",9,"890,660"
4538,18666076,1,13,Budaörsi Pro Musica Kórusalapítvány,2040 BUDAÖRS SZABADSÁG UTCA 134.,"117,468",7,"932,286"
4539,19830836,2,13,Budaörsi Sport Club,2040 BUDAÖRS HÁRSFA UTCA 6.,"839,782",40,"1,166,364"
4540,18688289,1,13,BUDAÖRSI SPORTOLÓ FIATALOKÉRT ALAPÍTVÁNY,2040 BUDAÖRS NÁDASDŰLŐ SÉTÁNY 19. FSZT.em. 1.ajtó,"141,021",8,"979,313"
4541,18513105,1,13,Budaörsi Szent Benedek Alapítvány,2040 BUDAÖRS ESZE TAMÁS UTCA 3.,"470,996",43,"608,522"
4542,18713800,1,13,BUDAÖRSI TAMBURELLO SPORT CLUB,2040 BUDAÖRS AVAR U. 14/B,"49,989",5,"555,433"
4543,18705542,1,13,Budaörsi Tanoda Közhasznú Alapítvány,2040 BUDAÖRS TEMPLOM TÉR 15.,"317,295",21,"839,405"
4544,18699258,1,13,Budaörsi Triatlon Klub Sportegyesület,2040 BUDAÖRS GESZTENYE UTCA 11.,"235,614",6,"2,181,611"
4545,18252594,1,13,"Budaörsi Úszó, Vízilabda és Vízisport Sportegyesület",2040 BUDAÖRS BUDAPESTI ÚT 16,"67,502",3,"1,250,037"
4546,18139833,1,43,Budaörsi úti Kollégistákért Alapítvány,1116 BUDAPEST KONDOROSI ÚT 12/A/A.ÉP. I.em. 7.ajtó,"25,480",1,"1,415,556"
4547,18709807,1,13,"BUDAÖRSI VIVACE KULTÚRÁLIS, MŰVÉSZETI ÉS SPORTEGYESÜLET",2040 BUDAÖRS RÉZ UTCA 18.,"204,406",16,"709,743"
4548,18243101,1,41,BUDAPEST ALL NATIONS LIONS CLUB,1055 BUDAPEST BIHARI UTCA 15. I.em. 6.a.,"289,552",11,"1,462,384"
4549,18119282,1,41,BUDAPEST ARTISAN ALAPÍTVÁNY,1027 BUDAPEST BEM JÓZSEF UTCA 1/B.,"18,000",1,"1,000,000"
4550,23396030,2,42,Budapest Bábszínház Közhasznú Nonprofit Korlátolt Felelősségű Társaság,1062 BUDAPEST ANDRÁSSY ÚT 69.,"383,141",29,"733,987"
4551,19301165,1,41,Budapest Breaking Sportegyesület,1131 BUDAPEST TATAI UTCA 118/B. I.em. 3.ajtó,"79,647",8,"553,104"
4552,18115013,1,41,Budapest Cirkuszművészeti és Kortárstánc Főiskola,1036 BUDAPEST PERC UTCA 2.,"70,897",7,"562,675"
4553,18004580,1,42,BUDAPEST ERZSÉBETVÁROSI GRÓF BRUNSZVIK TERÉZ ÓVODAVÉDŐ EGYLET,1074 BUDAPEST RÓZSÁK TERE 6-7,"317,070",31,"568,226"
4554,18040843,1,41,Budapest Evezős Egyesület,1138 BUDAPEST NÉPSZIGET ÚT 1-3.,"1,443,643",78,"1,028,236"
4555,18230611,1,43,Budapest Főnix Kendó és Iaido Klub,1116 BUDAPEST KARCAG UTCA 35. I.EM.em. 4.AJTÓ.ajtó,"348,621",19,"1,019,360"
4556,18240294,1,43,"Budapest Főváros IX. Kerület Ferencváros Önkormányzatának ""deák"" Tanulmányi Ösztöndíj Közalapítványa",1092 BUDAPEST BAKÁTS TÉR 14,"41,293",1,"2,294,056"
4557,15490737,2,41,BUDAPEST FŐVÁROS LEVÉLTÁRA,1139 BUDAPEST TEVE UTCA 3-5.,"29,458",2,"818,278"
4558,18096370,1,43,BUDAPEST FÖVÁROSI RÁDIÓAMATÖR KLUB,1222 BUDAPEST ZSINEG UTCA 22.,"347,804",19,"1,016,971"
4559,19701211,1,41,BUDAPEST FRANGEPÁN UTCAI REFORMÁTUS MEGUJULÁSI ALAPITVÁNY,1139 BUDAPEST FRANGEPÁN UTCA 43.,"743,380",48,"860,394"
4560,18007277,1,43,Budapest Hegyvidék Közrendvédelmi Közalapítvány,1126 BUDAPEST BÖSZÖRMÉNYI ÚT 23-25.,"42,563",3,"788,204"
4561,18054437,1,43,BUDAPEST HELYŐRSÉG SZOCIÁLIS ALAPÍTVÁNY,1112 BUDAPEST BUDAÖRSI ÚT 49/53.,"27,174",2,"754,833"
4562,18261169,2,43,Budapest Honvéd Akadémia Alapítvány,1194 BUDAPEST TEMESVÁR UTCA 25/A.,"784,353",83,"525,002"
4563,19026679,1,43,Budapest Hoppers Kötélugró Klub,1094 BUDAPEST TOMPA UTCA 26. B.lh. 4.em. 8.ajtó,"505,555",38,"739,115"
4564,18121623,1,41,"Budapest I. kerület Budavári Polgárőr, Önkéntes Tűzoltó, Egészség- és Természetvédő Egyesület",1016 BUDAPEST MÉSZÁROS UTCA 18.,"143,660",8,"997,639"
4565,19664644,1,41,BUDAPEST II KERÜLETI KÖZBIZTONSÁGI ALAPITVÁNY,1024 BUDAPEST MECHWART LIGET 1,"53,868",3,"997,556"
4566,18135327,1,41,BUDAPEST III. KERÜLETI POLGÁRŐR EGYESÜLET,1031 BUDAPEST VÍZIMOLNÁR UTCA 2. 7.em. 64.a.,"150,789",23,"364,225"
4567,19248673,1,41,Budapest Investment Club Közhasznú Egyesület,1043 BUDAPEST TÉL UTCA 3-7. 8.em. 2.ajtó,"308,448",20,"856,800"
4568,19635318,2,43,Budapest IX. kerületi Ejtőernyős Klub Sportegyesület,1092 BUDAPEST FERENC KÖRÚT 28.,"40,670",2,"1,129,722"
4569,18005608,1,42,Budapest Klauzál-téri Református Egyházközség Oikodomé Alapítvány,1085 BUDAPEST GYULAI PÁL UTCA 9. I.EM.em.,"110,843",15,"410,530"
4570,18088036,1,41,BUDAPEST KLUB ALAPITVÁNY,1014 BUDAPEST TÓTH ÁRPÁD SÉTÁNY 29. I.EMELET.em. 4.a.,"14,013",4,"194,625"
4571,19183574,1,13,BUDAPEST KÖRNYÉKI NÉPFÖISKOLAI EGYESÜLETEK SZÖVETSÉGE,2000 SZENTENDRE PÁTRIÁRKA UTCA 7.,"1,456",1,"80,889"
4572,18021248,1,42,Budapest Önkéntes Mentőszervezet Egyesület,1081 BUDAPEST DOLOGHÁZ UTCA 1.,"169,367",17,"553,487"
4573,18948105,1,41,Budapest Pétanque Sport Egyesület,1044 BUDAPEST ZSILIP UTCA 9/K.ÉP.,"359,354",23,"868,005"
4574,18514955,1,43,Budapest ?Reds? Baseball és Softball Sportegyesülete,1188 BUDAPEST TÁNCSICS MIHÁLY UTCA 100/A.,"666,247",36,"1,028,159"
4575,18089817,1,41,BUDAPEST SKÓT TÁNC KLUB,1024 BUDAPEST FILLÉR UTCA 4. 3.EMELET.em. 19.AJTÓ.ajtó,"681,418",36,"1,051,571"
4576,18015133,1,41,Budapest Tájfutó Sportjáért Alapítvány,1053 BUDAPEST CURIA UTCA 3.,"39,045",2,"1,084,583"
4577,18071896,2,43,BUDAPEST TÁNCSZÍNHÁZÉRT ALAPÍTVÁNY,1201 BUDAPEST NAGY GYŐRI ISTVÁN ÚT 36/A.,"146,709",16,"509,406"
4578,19659664,1,43,BUDAPEST X KÖBÁNYAI SZENT LÁSZLO EGYHÁZKÖZSÉG ALAPITVÁNY,1202 BUDAPEST NAGYSZALONTA UTCA 19.,"432,383",41,"585,885"
4579,18179987,1,42,Budapest XV. kerületi Patyolat Óvoda Alapítvány,1155 BUDAPEST PATYOLAT UTCA 5-7.,"103,478",11,"522,616"
4580,19701709,1,43,Budapest XVIII. kerületi Nyugdíjas Érdekvédelmi Egyesület,1181 BUDAPEST ÜLLŐI ÚT 391,"146,527",9,"904,488"
4581,18144590,1,43,Budapest XVIII.ker. Erzsébet-telepi Polgárőr Egyesület,1182 BUDAPEST NAGYSZEBEN UTCA 21.,"66,901",9,"412,969"
4582,18050347,1,42,Budapest Zuglói-Páduai Szent Antal Kharitas Alapítvány,1145 BUDAPEST BOSNYÁK UTCA 26.,"1,934,789",106,"1,014,040"
4583,19001872,1,42,BUDAPESTI ASZTALI LABDARUGO EGYESÜLET,1066 BUDAPEST JÓKAI UTCA 21.,"43,461",3,"804,833"
4584,19026916,1,41,Budapesti Atlétikai Klub Egyesület,1041 BUDAPEST MÁDY LAJOS UTCA 2/A. II.em. 2.ajtó,"105,114",12,"486,639"
4585,19622433,1,41,BUDAPESTI ATLÉTIKAI SZÖVETSÉG,1053 BUDAPEST CURIA UTCA 3.,"68,589",6,"635,083"
4586,18125476,1,13,Budapesti Budo és Mozgásművészeti Egyesület,2094 NAGYKOVÁCSI RÓKA UTCA 35.,"1,196,175",84,"791,121"
4587,19156972,2,44,Budapesti Corvinus Egyetem,1093 BUDAPEST FŐVÁM TÉR 8.,"617,332",39,"879,390"
4588,18155466,1,42,Budapesti Darts Szövetség,1146 BUDAPEST ISTVÁNMEZEI ÚT 1-3.,"195,142",19,"570,591"
4589,18178955,1,41,Budapesti Delfinek Szenior úszó Egyesület,1134 BUDAPEST TÜZÉR UTCA 30. II.EM.em. 11.ajtó,"264,706",20,"735,294"
4590,18022256,1,41,Budapesti Diáksport Szövetség,1053 BUDAPEST CURIA UTCA 3.,"70,349",2,"1,954,139"
4591,18182044,1,42,BUDAPESTI DIVATISKOLÁÉRT ALAPÍTVÁNY,1171 BUDAPEST PÉCELI ÚT 101.,"254,837",17,"832,801"
4592,18262218,1,42,Budapesti Egészségügyi Szakdolgozókért Alapítvány,1088 BUDAPEST BRÓDY SÁNDOR UTCA 2. 1.EM.em. 4.ajtó,"89,805",8,"623,646"
4593,18946426,1,41,Budapesti Egyesület a Nemzetközi Sportért,1025 BUDAPEST VEND UTCA 7. 1.em. 1.ajtó,"631,244",37,"947,814"
4594,19805528,2,43,Budapesti Egyetemi Atlétikai Club,1117 BUDAPEST BOGDÁNFY UTCA 12.,"497,655",36,"767,986"
4595,19004466,1,41,BUDAPESTI ELEKTROMOS MÜVEK TECHNIKAI TÖMEGSPORT ÉS KÖRNYVÉD MI KLUB,1132 BUDAPEST VÁCI ÚT 72-74.,"158,309",12,"732,912"
4596,19806172,2,41,Budapesti Elektromos Sportegyesület,1037 BUDAPEST KUNIGUNDA ÚTJA 47.,"363,725",17,"1,188,644"
4597,14092240,2,41,BUDAPESTI ÉPÍTÉSZETI KÖZPONT NONPROFIT SZOLGÁLTATÓ KORLÁTOLT FELELŐSSÉGŰ TÁRSASÁG,1052 BUDAPEST PETŐFI SÁNDOR UTCA 5.,"107,718",6,"997,389"
4598,19623915,1,13,BUDAPESTI ÉS PEST MEGYEI VIZÜGYI DOLGOZOK HORGÁSZ EGYESÜLETE,2310 SZIGETSZENTMIKLÓS SZEDRES UTCA 63.,"193,429",13,"826,620"
4599,18117046,2,41,Budapesti Farkasok Közhasznú Sportegyesület,1136 BUDAPEST TÁTRA UTCA 6. FSZT.em. I/A.a.,"1,032,159",56,"1,023,967"
4600,18005488,2,41,Budapesti Fesztiválzenekar Alapítvány,1034 BUDAPEST SELMECI UTCA 14-16.,"2,345,936",98,"1,329,896"
4601,19001308,2,42,BUDAPESTI FILHARMONIAI TÁRSASÁG,1074 BUDAPEST RÁKÓCZI ÚT 70-72. 1.EMELET.em.,"18,888",3,"349,778"
4602,18053089,2,41,Budapesti Francia Líceum Alapítvány,1029 BUDAPEST MÁRIAREMETEI ÚT 193-199.,"2,988,097",82,"2,024,456"
4603,18028159,1,42,Budapesti Fül-Orr-Gégeklinikáért Alapítvány,1083 BUDAPEST SZIGONY U. 36,"1,716,019",75,"1,271,125"
4604,19308722,2,41,Budapesti Gazdaságtudományi Egyetem,1055 BUDAPEST MARKÓ UTCA 29-31.,"409,133",31,"733,213"
4605,18241343,1,43,Budapesti Hidroterápiás Rehabilitációs Gimnasztika Alapítvány,1094 BUDAPEST LILIOM UTCA 48. FÖLDSZINT.em.,"724,399",56,"718,650"
4606,19673903,1,41,BUDAPESTI HONISMERETI TÁRSASÁG,1041 BUDAPEST MÁDY LAJOS UTCA 2.,"18,033",4,"250,458"
4607,18049031,1,41,Budapesti Honvéd Sport Egyesület Utánpótlásáért Alapítvány,1134 BUDAPEST DÓZSA GYÖRGY ÚT 53.,"2,707,046",183,"821,811"
4608,18073458,1,41,BUDAPESTI IFJUSÁGI FLOTTA EGYESÜLET,1056 BUDAPEST NYÁRI PÁL UTCA 1/B.,"421,527",40,"585,454"
4609,19672067,1,43,Budapesti Kéményseprő Ipartestület,1111 BUDAPEST BERTALAN LAJOS UTCA 13. VI.em. 2.ajtó,"192,254",17,"628,281"
4610,18246104,1,41,BUDAPESTI KÓRUS EGYESÜLET,1037 BUDAPEST TOBOZ UTCA 17.,"68,656",5,"762,844"
4611,19008044,1,43,BUDAPESTI KÖNYVSZEMLE ALAPITVÁNY,1126 BUDAPEST NÉMETVÖLGYI ÚT 6. III.em. 2.a.,"1,621",2,"45,028"
4612,19677196,1,41,BUDAPESTI KÖZÉP EUROPAI EGYETEM ALAPITVÁNY,1051 BUDAPEST NÁDOR UTCA 9.,"73,502",3,"1,361,148"
4613,18130047,2,41,Budapesti Közgazdaságtudományi Kutató és Fejlesztő Alapítvány,1053 BUDAPEST KÁROLYI UTCA 17.,"18,348",1,"1,019,333"
4614,19624899,2,42,Budapesti Közlekedési Vállalat Rádió klub,1087 BUDAPEST SALGÓTARJÁNI UTCA 10. FSZ.em. 12.a.,"739,567",36,"1,141,307"
4615,19624916,1,42,BUDAPESTI KÖZLEKEDÉSI VÁLLALAT TECHNIKAI ÉS TÖMEGSPORTKLUBOK EGYESÜLETE,1087 BUDAPEST SPORT UTCA 2.,"221,884",11,"1,120,626"
4616,19653091,1,43,Budapesti Közművek Humán Támasz Alapítvány,1116 BUDAPEST KALOTASZEG UTCA 31.,"473,332",27,"973,934"
4617,18041363,2,43,BUDAPESTI KULTURÁLIS ÉS KÉPZÉSI EGYESÜLET,1113 BUDAPEST KÖKÖRCSIN UTCA 7.,"149,633",14,"593,782"
4618,18038725,1,43,BUDAPESTI LABDARUGO JÁTÉKVEZETÖI SPORTALAPITVÁNY,1091 BUDAPEST ÜLLŐI UTCA 163. 5.EM.em. 51.ajtó,"48,592",4,"674,889"
4619,19012607,1,42,Budapesti Lantos Kórus Alapítvány,1074 BUDAPEST ROTTENBILLER UTCA 16-22.,"445,381",41,"603,497"
4620,18071449,1,42,Budapesti Legyőzhetetlen Feketék Sportegyesület,1158 BUDAPEST MOLNÁR VIKTOR UTCA 50. FSZ.em. 2.ajtó,"266,128",23,"642,821"
4621,18257630,1,43,Budapesti Lufthansa Sportegyesület,1117 BUDAPEST NEUMANN JÁNOS UTCA 1/E.,"45,699",5,"507,767"
4622,18844850,2,41,Budapesti Magánbiztonsági Alapítvány,1132 BUDAPEST KÁDÁR UTCA 13.,"11,345",1,"630,278"
4623,18257489,1,43,BUDAPESTI MESTERLÖVÉSZ EGYESÜLET,1115 BUDAPEST BÁRTFAI UTCA 38. 4.em. 15.ajtó,"57,553",5,"639,478"
4624,19636096,1,42,Budapesti Modellező Sportegyesület,1106 BUDAPEST KADA UTCA 149.,"333,131",15,"1,233,819"
4625,19652612,1,43,Budapesti Monteverdi Kórus Alapítvány,1121 BUDAPEST ZUGLIGETI ÚT 52.,"117,985",9,"728,302"
4626,18245347,1,43,BUDAPESTI MOZITÖRTÉNETI ALAPÍTVÁNY,1213 BUDAPEST HATÁR U. 87,"6,480",2,"180,000"
4627,18134199,1,41,Budapesti Műhely Alapítvány,1041 BUDAPEST DEÁK FERENC U. 40,"765,279",67,"634,560"
4628,19410768,4,43,Budapesti Műszaki és Gazdaságtudományi Egyetem,1111 BUDAPEST MŰEGYETEM RAKPART 3.,"1,737,263",93,"1,037,792"
4629,18034587,1,43,BUDAPESTI NÉMET ISKOLA ALAPITVÁNY,1121 BUDAPEST CINEGE ÚT 8./C.,"1,761,546",53,"1,846,484"
4630,18171020,1,42,Budapesti Nemzetközi Jótékonysági Hölgy Klub Egyesület,1065 BUDAPEST HAJÓS UTCA 1.,"36,513",1,"2,028,500"
4631,15490744,2,42,BUDAPESTI OPERETTSZÍNHÁZ,1065 BUDAPEST NAGYMEZŐ UTCA 17.,"689,054",23,"1,664,382"
4632,18192823,1,42,Budapesti Orvostanhallgatók Egyesülete,1085 BUDAPEST ÜLLŐI ÚT 22. II.EMELET.em. 207.ajtó,"697,658",55,"704,705"
4633,19639666,1,43,Budapesti Osztrák Iskola  Alapítvány,1126 BUDAPEST ORBÁNHEGYI ÚT 39-45.,"546,286",19,"1,597,327"
4634,18260962,2,43,Budapesti Önkéntes Mentő Egylet - Katasztrófa Elhárítási Csoport Alapítvány,1115 BUDAPEST KELENFÖLDI ÚT 2,"313,070",23,"756,208"
4635,18011919,1,43,BUDAPESTI PATRÓNUS ALAPÍTVÁNY,1182 BUDAPEST WLASSICS GYULA UTCA 131.,"103,704",7,"823,048"
4636,18068605,1,42,Budapesti Polgárőr Szövetség,1145 BUDAPEST LAKY ADOLF U. 36,"30,028",3,"556,074"
4637,18241831,1,43,BUDAPESTI POLITECHNIKUM ALAPÍTVÁNY,1096 BUDAPEST VENDEL UTCA 3.,"2,007,234",89,"1,252,955"
4638,19667104,2,43,BUDAPESTI RENDÉSZETI SPORTEGYESÜLET,1097 BUDAPEST VÁGÓHÍD U. 11-13,"28,110",5,"312,333"
4639,19288167,1,43,Budapesti Roller Derby és Quad Görkorcsolya Sportegyesület,1211 BUDAPEST KISS JÁNOS ALTÁBORNAGY UTCA 29-41. FSZT.em. 2.ajtó,"165,470",14,"656,627"
4640,19623221,1,41,BUDAPESTI RÖPLABDA SZÖVETSÉG,1053 BUDAPEST CURIA UTCA 3. III.FÉL EMELET.em. 4.ajtó,"64,735",5,"719,278"
4641,19001250,1,13,BUDAPESTI SPORTHORGÁSZOK EGYESÜLETE,2317 SZIGETCSÉP BARÁTSÁG U. 190,"222,457",12,"1,029,894"
4642,19374972,1,41,Budapesti Sportíjász Egyesület,1033 BUDAPEST SZÉRŰSKERT UTCA 15. 4.EMELET.em. 15.ajtó,"207,385",17,"677,729"
4643,19638933,1,42,BUDAPESTI SZÉKELY KÖR,1071 BUDAPEST DAMJANICH UTCA 54. VI.em. 25.ajtó,"35,499",5,"394,433"
4644,18083172,1,41,Budapesti Szent Ferenc Kórház Alapítványa,1021 BUDAPEST SZÉHER UTCA 71-73.,"12,379,489",982,"700,356"
4645,18040946,2,41,Budapesti Szimfonikus Zenekari Egyesület,1039 BUDAPEST CSALÁD UTCA 45.,"16,143",1,"896,833"
4646,18650978,1,42,Budapesti Szinkronkorcsolya Sportegyesület,1147 BUDAPEST GYARMAT UTCA 120.,"1,334,802",88,"842,678"
