Sorszám,Adószám,,,Név,Székhely,Felajánlott összeg (Ft),Felajánlók száma (fő),Havi bruttó átlagbér (Ft)
39,19059480,1,4,A BÉKÉSI KÖNYVTÁRÉRT ALAPITVÁNY,5630 BÉKÉS SZÉCHENYI TÉR 4,"360,495",31,"646,048"
40,18373590,1,4,A BÉKÉSI MUZSIKÁLO GYERMEKEKÉRT ALAPITVÁNY,5630 BÉKÉS PETŐFI S. UTCA 1.,"101,297",9,"625,290"
41,18380376,1,4,A BÉLMEGYERI OVODÁSOKÉRT ALAPITVÁNY,5643 BÉLMEGYER SZABADSÁG TÉR 1,"309,258",53,"324,170"
42,18375602,1,4,A Belvárosi Iskoláért Alapítvány,5600 BÉKÉSCSABA HAÁN LAJOS UTCA 2-4.,"1,997,114",185,"599,734"
43,19182724,1,13,A BÉNYEI GYERMEKEKÉRT ALAPITVÁNY,2216 BÉNYE Fő UTCA 83-85.,"216,913",18,"669,485"
44,18088713,1,41,A Benyus Testvérek Kamaraegyütteséért  Alapítvány,1053 BUDAPEST KIRÁLYI PÁL UTCA 7. II.EM.em. 4.ajtó,"152,242",24,"352,412"
45,18320640,1,2,A Berkesdi Iskoláért Közalapítvány,7664 BERKESD ALKOTMÁNY U 42,"93,019",11,"469,793"
46,18830156,1,16,A BESENYSZÖGI IDŐSEK OTTHONÁÉRT ALAPÍTVÁNY,5071 BESENYSZÖG SZABADSÁG TÉR 3.,"426,106",43,"550,525"
47,18418440,1,5,A BESZÉDHIBÁS GYERMEKEKÉRT Alapítvány,3516 MISKOLC GINZERY S. UTCA 36.,"783,122",53,"820,883"
48,18603914,1,11,A beszédhibás gyermekekért  Közalapítvány,2800 TATABÁNYA KODÁLY TÉR 3.,"469,989",51,"511,971"
49,19670546,1,41,A beszélő siketért Alapítvány,1047 BUDAPEST CINKOTAI UTCA 125-137.,"833,369",80,"578,728"
50,18334179,1,17,A BETEGEK  SÜRGŐSSÉGI ELLÁTÁSÁÉRT ALAPÍTVÁNY,7100 SZEKSZÁRD BÉRI B. Á. ÚT 5-7.,"613,490",49,"695,567"
51,18630406,1,12,A Betegek Megsegítéséért Alapítvány,3170 SZÉCSÉNY HAYNALD L. ÚT 12.,"783,239",51,"853,202"
52,18286148,1,19,A Betérő Kulturális Alapítvány,8484 NAGYALÁSONY KOSSUTH UTCA 106.,"142,363",1,"7,909,056"
53,19326838,1,8,A Beton Kulturális Alap Egyesület,9027 GYŐR PUSKÁS TIVADAR UTCA 8.,"1,260,777",94,"745,140"
54,18625567,1,13,A BIATORBÁGYI DIÁKOKÉRT NEBULÓ ALAPÍTVÁNY,2051 BIATORBÁGY SZENTHÁROMSÁG TÉR 6.,"1,510,699",101,"830,968"
55,18892372,1,18,A Bíboros szülőfalujának templomáért Alapítvány Csehimindszent,9834 CSEHIMINDSZENT FŐ UTCA 40.,"76,187",8,"529,076"
